Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed,Distance,Gain,conv,pace
5745406560,"Aug 5, 2021, 9:28:43 PM",Afternoon Run,Run,,1051,3.74,50.92307281,2.32392754,7.537527038
5793799280,"Aug 14, 2021, 10:54:48 PM",Evening Run,Run,,3491,9.78,137.5199585,6.07700838,9.574338177
5809840102,"Aug 17, 2021, 10:41:18 PM",Evening Run,Run,,1047,3.67,50.6199379,2.28043157,7.652060351
5858483508,"Aug 26, 2021, 8:29:32 PM",First run back on continent,Run,It's actually cooler in Hawaii I swear,1699,5.68,88.12746429,3.52938728,8.023111215
5864033421,"Aug 28, 2021, 1:58:38 AM",Night Run,Run,,929,3.21,60.56507874,1.99460091,7.762622215
5874699592,"Aug 29, 2021, 10:21:44 PM",Evening Run,Run,,1966,6.44,141.2144012,4.00162924,8.188331477
5879742526,"Aug 31, 2021, 12:07:45 AM",Evening Run,Run,,906,3.22,60.49166489,2.00081462,7.546926062
5890456989,"Sep 1, 2021, 9:19:39 PM",Afternoon Run,Run,1:18 PR,1621,5.63,87.43035889,3.49831873,7.722757345
5895892776,"Sep 2, 2021, 10:35:11 PM",Evening Run,Run,,849,3.22,60.53305435,2.00081462,7.072119455
5900885889,"Sep 3, 2021, 10:13:07 PM",Evening Run,Run,,2898,10.03,54.14777756,6.23235113,7.749884272
5944807269,"Sep 11, 2021, 9:27:21 PM",Afternoon Run,Run,,1004,3.67,51.4701004,2.28043157,7.337792352
5976154456,"Sep 17, 2021, 6:55:42 PM",Afternoon Run,Run,,1604,5.67,89.11151886,3.52317357,7.587855892
6008814263,"Sep 23, 2021, 9:41:41 PM",Afternoon Run,Run,,3047,9.66,133.4553375,6.00244386,8.460442866
6013295138,"Sep 24, 2021, 9:18:39 PM",Afternoon Run,Run,,881,3.23,70.53422546,2.00702833,7.315957186
6030237529,"Sep 28, 2021, 12:53:43 AM",Evening Run,Run,,864,3.22,69.37807465,2.00081462,7.197068562
6035002816,"Sep 28, 2021, 10:05:18 PM",Evening Run,Run,,956,3.65,51.43991089,2.26800415,7.025266393
6099409885,"Oct 11, 2021, 9:57:03 PM",Afternoon Run,Run,,811,3.27,67.30286407,2.03188317,6.652285361